Id,Name,Description,Longitude,Latitude,Status
118,MIDAS site at M60/9200B priority 1 on link 115023101; GPS Ref: 375030;399277; Anti-clockwise,M60/9200B,-2.377801383,53.4896217,Inactive
119,MIDAS site at M1/4037B priority 1 on link 107033101; GPS Ref: 451653;344314; Southbound,M1/4037B,-1.231903298,52.99369213,Active
120,MIDAS site at M1/3920A priority 7 on link 199017201; GPS Ref: 447263;333980; Northbound,M1/3920A,-1.298800989,52.90120836,Inactive
121,MIDAS site at M4/2302B priority 3 on link 199003201; GPS Ref: 502117;178175; Eastbound,M4/2302B,-0.530439285,51.49330887,Active
122,MIDAS site at M62/1758A priority 1 on link 116031802; GPS Ref: 399043;414844; Eastbound,M62/1758A,-2.015944401,53.63013801,Active
123,MIDAS site at M1/3789B priority 2 on link 107030601; GPS Ref: 448071;321631; Southbound,M1/3789B,-1.288604075,52.79013526,Active
124,MIDAS site at M25/5316B priority 1 on link 199002701; GPS Ref: 520813;202208; Anti-clockwise,M25/5316B,-0.25298383,51.70561832,Active
125,MIDAS site at M1/4647A priority 1 on link 116025801; GPS Ref: 437103;394542; Northbound,M1/4647A,-1.442837492,53.44636284,Inactive
126,MIDAS site at M20/6502L priority 1 on link 104028101; GPS Ref: 569281;159343; Westbound,M20/6502L,0.427301099,51.30802807,Inactive
127,MIDAS site at M1/3714B priority 1 on link 126024001; GPS Ref: 448569;314367; Southbound,M1/3714B,-1.282292177,52.724795639999996,Active
128,MIDAS site at M42/6602B priority 1 on link 111023101; GPS Ref: 423136;298734; Southbound,M42/6602B,-1.6599474120000002,52.58594146,Inactive
129,MIDAS site at M6/7536A priority 1 on link 117016001; GPS Ref: 356135;433089; Northbound,M6/7536A,-2.667341071,53.79226874,Active
130,MIDAS site at M1/4662B priority 1 on link 116025002; GPS Ref: 436834;396021; Southbound,M1/4662B,-1.446715476,53.45967528,Inactive
131,MIDAS site at M42/6598A priority 1 on link 111023401; GPS Ref: 422830;298492; Northbound,M42/6598A,-1.6644803220000002,52.58377874,Inactive
132,MIDAS site at M42/6694B priority 1 on link 111022301; GPS Ref: 428080;306340; Southbound,M42/6694B,-1.586334788,52.65408353,Inactive
133,MIDAS site at M42/6277A priority 1 on link 111001801; GPS Ref: 411633;272234; Northbound,M42/6277A,-1.83064033,52.34807104,Active
134,MIDAS site at M60/9492A priority 1 on link 115028201; GPS Ref: 391063;395667; Clockwise,M60/9492A,-2.136058368,53.45769352,Active
135,MIDAS site at M4/2979B priority 1 on link 200110982; GPS Ref: 442016;172622; Eastbound,M4/2979B,-1.396729601,51.45102964,Active
136,MIDAS site at M4/2368A priority 2 on link 105008101; GPS Ref: 496430;179050; Westbound,M4/2368A,-0.61209307,51.50217179,Active
137,MIDAS site at M4/3188A priority 1 on link 102005102; GPS Ref: 423643;180072; Westbound,M4/3188A,-1.660632825,51.51907771,Active
138,MIDAS site at M25/4546A priority 13 on link 199131301; GPS Ref: 522867;153119; Clockwise,M25/4546A,-0.24033791200000001,51.26399361,Active
139,MIDAS site at M42/6504B priority 1 on link 126109601; GPS Ref: 418729;290845; Southbound,M42/6504B,-1.725434312,52.51518816,Active
140,MIDAS site at M18/7641A priority 1 on link 116009301; GPS Ref: 456091;398007; Northbound,M18/7641A,-1.156363568,53.4758318,Active
141,MIDAS site at M5/7050A priority 1 on link 112009701; GPS Ref: 401763;290395; Southbound,M5/7050A,-1.975446549,52.51145781,Active
142,MIDAS site at M6/6689A priority 9 on link 123008101; GPS Ref: 377603;359903; Northbound,M6/6689A,-2.33622987,53.13582388,Inactive
143,MIDAS site at M62/1612A priority 1 on link 115032402; GPS Ref: 386530;408992; Eastbound,M62/1612A,-2.204902647,53.57736512,Inactive
144,MIDAS site at M25/4681A priority 1 on link 200047926; GPS Ref: 511963;157575; Clockwise,M25/4681A,-0.395159817,51.30628926,Active
145,MIDAS site at M1/4841J priority 1 on link 116009801; GPS Ref: 429874;411690; Northbound,M1/4841J,-1.55004776,53.6009474,Active
146,MIDAS site at M27/9160J priority 1 on link 103007701; GPS Ref: 441610;117958; Eastbound,M27/9160J,-1.40890128,50.95954422,Active
147,MIDAS site at A38/4508B priority 1 on link 114009501; GPS Ref: 436592;340526; Southbound,A38/4508B,-1.456699257,52.96087919,Inactive
148,MIDAS site at M1/4503B priority 1 on link 116007103; GPS Ref: 448122;387669; Southbound,M1/4503B,-1.277992509,53.38370233,Active
149,MIDAS site at M1/3211A priority 1 on link 123017001; GPS Ref: 459988;267927; Northbound,M1/3211A,-1.121591981,52.30620831,Inactive
150,MIDAS site at M25/5015A priority 1 on link 108032801; GPS Ref: 502426;184608; Clockwise,M25/5015A,-0.524120573,51.55107608,Active
151,MIDAS site at M1/2840B priority 1 on link 108019802; GPS Ref: 486327;243087; Southbound,M1/2840B,-0.741690014,52.07943227,Inactive
152,MIDAS site at M5/7970B priority 1 on link 200045240; GPS Ref: 380337;211237; Northbound,M5/7970B,-2.286541238,51.79943482,Active
153,MIDAS site at A1M/9790A priority 1 on link 118013401; GPS Ref: 440738;457716; Northbound,A1M/9790A,-1.379820284,54.01387186,Active
154,MIDAS site at A1M/9362B priority 1 on link 108008701; GPS Ref: 522428;212344; Southbound,A1M/9362B,-0.22605850300000002,51.79636041,Active
155,MIDAS site at M25/4832J priority 1 on link 103048901; GPS Ref: 502001;167383; Clockwise,M25/4832J,-0.5352160650000001,51.39632284,Active
156,MIDAS site at M1/4592A priority 1 on link 116026901; GPS Ref: 440407;390154; Northbound,M1/4592A,-1.3936557299999999,53.40668103,Inactive
157,MIDAS site at M40/8509L priority 1 on link 200055521; GPS Ref: 485048;191040; Southbound,M40/8509L,-0.773134129,51.61178027,Active
158,MIDAS site at M4/3293A priority 1 on link 102005301; GPS Ref: 413683;182400; Westbound,M4/3293A,-1.8040896339999999,51.54033715,Active
159,MIDAS site at M1/4158A priority 1 on link 114008001; GPS Ref: 446648;354932; Northbound,M1/4158A,-1.304930067,53.08958951,Active
160,MIDAS site at M42/6289B priority 1 on link 111001702; GPS Ref: 412795;272148; Southbound,M42/6289B,-1.813585111,52.34727228,Active
161,MIDAS site at M61/2347A priority 1 on link 117007704; GPS Ref: 357814;426148; Northbound,M61/2347A,-2.640904296,53.73002664,Active
162,MIDAS site at M25/4463K priority 1 on link 103066002; GPS Ref: 530433;153279; Clockwise,M25/4463K,-0.13189747,51.26375261,Active
163,MIDAS site at M4/3331B priority 1 on link 102005401; GPS Ref: 410009;183068; Eastbound,M4/3331B,-1.8570468610000002,51.5464201,Active
164,MIDAS site at A14/0070B priority 1 on link 107029602; GPS Ref: 462834;277654; Westbound,A14/0070B,-1.078041367,52.39332684,Inactive
165,MIDAS site at A1M/9763B priority 1 on link 122000301; GPS Ref: 441857;455089; Southbound,A1M/9763B,-1.363105625,53.99017375,Active
